Data ,Opiniao,Escala,Preferencia
7/26/2022 15:01:37,Pouco útil.,2,"Utilizando primeiramente o oráculo, criando e executando testes de entradas e saídas. (Oráculo)"
7/26/2022 15:16:05,Importantes para que eu planeje melhor minha solução.,5,"Utilizando primeiramente o oráculo, criando e executando testes de entradas e saídas. (Oráculo)"
7/26/2022 15:17:18,Importantes para que eu planeje melhor minha solução.,5,"Utilizando primeiramente o oráculo, criando e executando testes de entradas e saídas. (Oráculo)"
7/26/2022 15:20:36,Importantes para que eu planeje melhor minha solução.,4,"Utilizando primeiramente o oráculo, criando e executando testes de entradas e saídas. (Oráculo)"
7/26/2022 15:24:45,Útil.,3,"Utilizando primeiramente o oráculo, criando e executando testes de entradas e saídas. (Oráculo)"
7/26/2022 15:28:06,Útil.,4,Apenas criando meus testes e executando-os em minha própria solução. (TDD)
7/26/2022 15:28:14,Importantes para que eu planeje melhor minha solução.,5,"Utilizando primeiramente o oráculo, criando e executando testes de entradas e saídas. (Oráculo)"
7/26/2022 15:28:33,Importantes para que eu planeje melhor minha solução.,5,"Utilizando primeiramente o oráculo, criando e executando testes de entradas e saídas. (Oráculo)"
7/26/2022 15:28:46,Pouco útil.,2,Apenas criando meus testes e executando-os em minha própria solução. (TDD)
7/26/2022 15:29:15,Importantes para que eu planeje melhor minha solução.,5,"Utilizando primeiramente o oráculo, criando e executando testes de entradas e saídas. (Oráculo)"
7/26/2022 15:29:58,Útil.,3,Apenas criando meus testes e executando-os em minha própria solução. (TDD)
7/26/2022 15:30:00,Pouco útil.,3,Apenas criando meus testes e executando-os em minha própria solução. (TDD)
7/26/2022 15:30:01,Útil.,5,"Utilizando primeiramente o oráculo, criando e executando testes de entradas e saídas. (Oráculo)"
7/26/2022 15:30:21,Útil.,4,Apenas criando meus testes e executando-os em minha própria solução. (TDD)
7/26/2022 15:30:40,Importantes para que eu planeje melhor minha solução.,4,Apenas criando meus testes e executando-os em minha própria solução. (TDD)
7/26/2022 15:30:51,Importantes para que eu planeje melhor minha solução.,5,"Utilizando primeiramente o oráculo, criando e executando testes de entradas e saídas. (Oráculo)"
7/26/2022 15:31:17,Importantes para que eu planeje melhor minha solução.,5,"Utilizando primeiramente o oráculo, criando e executando testes de entradas e saídas. (Oráculo)"
7/26/2022 15:32:32,Importantes para que eu planeje melhor minha solução.,5,Apenas criando meus testes e executando-os em minha própria solução. (TDD)
7/26/2022 15:34:39,Importantes para que eu planeje melhor minha solução.,5,Apenas criando meus testes e executando-os em minha própria solução. (TDD)
7/26/2022 15:37:46,Útil.,4,Apenas criando meus testes e executando-os em minha própria solução. (TDD)
8/9/2022 09:36:37,Útil.,5,"Utilizando primeiramente o oráculo, criando e executando testes de entradas e saídas. (Oráculo)"
8/9/2022 09:36:50,Útil.,5,"Utilizando primeiramente o oráculo, criando e executando testes de entradas e saídas. (Oráculo)"
8/9/2022 09:37:20,Útil.,4,"Utilizando primeiramente o oráculo, criando e executando testes de entradas e saídas. (Oráculo)"
9/23/2021 18:13:27,Útil.,4,"Utilizando primeiramente o oráculo, criando e executando testes de entradas e saídas."
9/23/2021 18:14:39,Útil.,4,"Utilizando primeiramente o oráculo, criando e executando testes de entradas e saídas."
9/23/2021 18:15:45,Útil.,4,Apenas executando os testes ocultos.
9/23/2021 18:15:47,Importantes para que eu planeje melhor minha solução.,4,"Utilizando primeiramente o oráculo, criando e executando testes de entradas e saídas."
9/23/2021 18:15:53,Útil.,5,"Utilizando primeiramente o oráculo, criando e executando testes de entradas e saídas."
9/23/2021 18:16:18,Útil.,5,"Utilizando primeiramente o oráculo, criando e executando testes de entradas e saídas."
9/23/2021 18:16:20,Não cheguei a trabalhar isso.,2,Apenas executando os testes ocultos.
9/23/2021 18:18:55,Importantes para que eu planeje melhor minha solução.,5,"Utilizando primeiramente o oráculo, criando e executando testes de entradas e saídas."
9/27/2021 16:06:56,Importantes para que eu planeje melhor minha solução.,5,"Utilizando primeiramente o oráculo, criando e executando testes de entradas e saídas."
9/1/2021 16:08:59,Útil.,3,"Utilizando primeiramente o oráculo, criando e executando testes de entradas e saídas."
9/27/2021 16:09:50,Importantes para que eu planeje melhor minha solução.,4,"Utilizando primeiramente o oráculo, criando e executando testes de entradas e saídas."
9/27/2021 16:10:07,Útil.,4,"Utilizando primeiramente o oráculo, criando e executando testes de entradas e saídas."
9/27/2021 16:11:13,Útil.,4,Apeanas criando meus testes e executando-os em minha própria solução.
9/27/2021 16:11:15,Útil.,3,Apeanas criando meus testes e executando-os em minha própria solução.
9/27/2021 16:11:20,Útil.,4,Apeanas criando meus testes e executando-os em minha própria solução.
9/27/2021 16:12:37,Importantes para que eu planeje melhor minha solução.,5,"Utilizando primeiramente o oráculo, criando e executando testes de entradas e saídas."
9/27/2021 16:18:44,Importantes para que eu planeje melhor minha solução.,5,"Utilizando primeiramente o oráculo, criando e executando testes de entradas e saídas."
9/27/2021 16:19:41,Útil.,5,"Utilizando primeiramente o oráculo, criando e executando testes de entradas e saídas."
9/27/2021 16:23:27,Importantes para que eu planeje melhor minha solução.,5,"Utilizando primeiramente o oráculo, criando e executando testes de entradas e saídas."
9/27/2021 16:25:52,Importantes para que eu planeje melhor minha solução.,5,"Utilizando primeiramente o oráculo, criando e executando testes de entradas e saídas."
9/27/2021 16:38:40,Útil.,3,Apenas executando os testes ocultos.
9/27/2021 17:23:29,Útil.,4,"Utilizando primeiramente o oráculo, criando e executando testes de entradas e saídas."