Aluno,Questão,Tipo de erro 1,Tipo de erro 2,TE
1,Merge Invertido,Regra,,"0,25"
2,Merge Invertido,Regra,Habilidade,"0,88"
3,Merge Invertido,Habilidade,,"0,50"
4,Merge Invertido,Regra,,"1,00"
5,Merge Invertido,Regra,,"1,00"
6,Merge Invertido,Regra,,"0,75"
8,Merge Invertido,Regra,,"0,50"
10,Merge Invertido,Regra,Habilidade,"0,63"
11,Merge Invertido,Regra,,"0,88"
13,Merge Invertido,Regra,,"0,75"
14,Merge Invertido,Regra,,"0,88"
15,Merge Invertido,Regra,,"0,38"
16,Merge Invertido,Regra,Conhecimento,"1,00"
19,Merge Invertido,Regra,,"0,63"
20,Merge Invertido,Regra,,"1,00"
21,Merge Invertido,Regra,,"0,88"
22,Merge Invertido,Regra,,"1,00"
23,Merge Invertido,Regra,,"0,63"
24,Merge Invertido,Regra,,"0,75"
25,Merge Invertido,Regra,,"0,50"
26,Merge Invertido,Regra,,"0,38"
27,Merge Invertido,Regra,,"0,38"
28,Merge Invertido,Regra,,"0,88"
29,Merge Invertido,Regra,,"0,13"