Forma,Tempo
Usual,20
Usual,16
Usual,27
Usual,33
Usual,28
Usual,30
Usual,31
Usual,29
Usual,33
Usual,22
Usual,24
Usual,20
Usual,29
Usual,34
Usual,27
Usual,18
Usual,30
Usual,29
Usual,21
Usual,24
Usual,22
Usual,16
Usual,19
Usual,21
Usual,17
Usual,30
Usual,28
Usual,34
Usual,19
Usual,17
Usual,26
Oráculo,18
Oráculo,18
Oráculo,12
Oráculo,20
Oráculo,19
Oráculo,19
Oráculo,22
Oráculo,13
Oráculo,18
Oráculo,24
Oráculo,20
Oráculo,15
Oráculo,13
Oráculo,21
Oráculo,14
Oráculo,19
Oráculo,11
Oráculo,14
Oráculo,12
Oráculo,24
Oráculo,10
Oráculo,19
Oráculo,10
Oráculo,11
Oráculo,20
Oráculo,15
Oráculo,18
Oráculo,16
Oráculo,13
Oráculo,10
Oráculo,17