id,Método,N de submissoes,Tempo (min)
33,TDD,9,10
34,TDD,8,10
45,TDD,4,10
26,Oráculo B,1,10
5,Oráculo B,1,11
23,Oráculo B,3,11
43,Oráculo B,2,11
44,Oráculo B,3,11
1,TDD,3,12
8,TDD,6,12
10,TDD,9,12
32,TDD,9,12
43,TDD,5,12
1,Oráculo B,2,12
10,Oráculo B,1,12
13,Oráculo B,4,12
17,TDD,3,13
25,TDD,6,13
44,TDD,4,13
8,Oráculo B,5,13
16,Oráculo B,7,13
27,Oráculo B,2,13
31,Oráculo B,1,13
35,Oráculo B,2,13
3,TDD,1,14
15,TDD,5,14
36,TDD,1,14
22,Oráculo B,4,14
24,Oráculo B,4,14
28,Oráculo B,6,14
30,Oráculo B,4,14
38,Oráculo B,7,14
42,Oráculo B,1,14
11,TDD,3,15
12,TDD,9,15
18,Oráculo B,5,15
21,Oráculo B,6,15
32,Oráculo B,6,15
37,Oráculo B,3,15
2,TDD,8,16
12,Oráculo B,6,16
41,Oráculo B,2,16
5,TDD,9,17
42,TDD,10,17
2,Oráculo B,1,17
6,Oráculo B,6,17
11,Oráculo B,6,17
25,Oráculo B,6,17
6,TDD,5,18
24,TDD,4,18
26,TDD,4,18
27,TDD,3,18
37,TDD,5,18
15,Oráculo B,1,18
17,Oráculo B,4,18
34,Oráculo B,1,18
30,TDD,2,19
39,TDD,9,19
3,Oráculo B,7,19
19,Oráculo B,2,19
29,Oráculo B,2,19
18,TDD,10,20
31,TDD,7,20
4,Oráculo B,3,20
20,Oráculo B,7,20
40,Oráculo B,7,20
45,Oráculo B,3,20
20,TDD,2,21
38,TDD,8,21
9,Oráculo B,7,21
36,Oráculo B,1,21
39,Oráculo B,5,21
16,TDD,1,22
28,TDD,4,22
14,Oráculo B,6,22
33,Oráculo B,4,22
21,TDD,2,23
23,TDD,5,23
7,TDD,4,24
9,TDD,7,24
13,TDD,8,24
19,TDD,4,24
29,TDD,3,24
40,TDD,3,24
41,TDD,4,24
4,TDD,7,25
22,TDD,10,25
7,Oráculo B,2,25
35,TDD,3,28
14,TDD,3,29