Método,N de submissões
Usual,2
Usual,2
Usual,4
Usual,5
Usual,2
Usual,3
Usual,7
Usual,3
Usual,8
Usual,5
Usual,2
Usual,3
Usual,13
Usual,6
Usual,14
Usual,2
Usual,3
Usual,9
Usual,4
Usual,4
Usual,5
Usual,13
Usual,3
Usual,8
Usual,1
Usual,6
Usual,2
Usual,10
Usual,6
Usual,7
Usual,10
Oraculo A,1
Oraculo A,2
Oraculo A,2
Oraculo A,3
Oraculo A,1
Oraculo A,4
Oraculo A,4
Oraculo A,1
Oraculo A,6
Oraculo A,4
Oraculo A,1
Oraculo A,3
Oraculo A,2
Oraculo A,3
Oraculo A,3
Oraculo A,2
Oraculo A,3
Oraculo A,1
Oraculo A,1
Oraculo A,2
Oraculo A,3
Oraculo A,4
Oraculo A,1
Oraculo A,4
Oraculo A,1
Oraculo A,1
Oraculo A,1
Oraculo A,1
Oraculo A,1
Oraculo A,5
Oraculo A,1
TDD,4
TDD,2
TDD,8
TDD,4
TDD,1
TDD,4
TDD,5
TDD,4
TDD,5
TDD,2
TDD,12
TDD,2
TDD,6
TDD,4
TDD,5
TDD,5
TDD,2
TDD,3
TDD,1
TDD,3
TDD,3
TDD,14
TDD,6
TDD,6
TDD,5
TDD,2
TDD,8
TDD,7
TDD,3
TDD,8
TDD,1
Oráculo B,1
Oráculo B,1
Oráculo B,3
Oráculo B,4
Oráculo B,1
Oráculo B,4
Oráculo B,5
Oráculo B,2
Oráculo B,6
Oráculo B,1
Oráculo B,4
Oráculo B,1
Oráculo B,2
Oráculo B,3
Oráculo B,3
Oráculo B,4
Oráculo B,1
Oráculo B,1
Oráculo B,4
Oráculo B,2
Oráculo B,5
Oráculo B,8
Oráculo B,2
Oráculo B,1
Oráculo B,3
Oráculo B,5
Oráculo B,4
Oráculo B,2
Oráculo B,3
Oráculo B,4
Oráculo B,2