id,Método,N de submissoes
1,TDD,3
2,TDD,8
3,TDD,1
4,TDD,7
5,TDD,9
6,TDD,5
7,TDD,4
8,TDD,6
9,TDD,7
10,TDD,9
11,TDD,3
12,TDD,9
13,TDD,8
14,TDD,3
15,TDD,5
16,TDD,1
17,TDD,3
18,TDD,10
19,TDD,4
20,TDD,2
21,TDD,2
22,TDD,10
23,TDD,5
24,TDD,4
25,TDD,6
26,TDD,4
27,TDD,3
28,TDD,4
29,TDD,3
30,TDD,2
31,TDD,7
32,TDD,9
33,TDD,9
34,TDD,8
35,TDD,3
36,TDD,1
37,TDD,5
38,TDD,8
39,TDD,9
40,TDD,3
41,TDD,4
42,TDD,10
43,TDD,5
44,TDD,4
45,TDD,4
1,Oráculo B,2
2,Oráculo B,1
3,Oráculo B,7
4,Oráculo B,3
5,Oráculo B,1
6,Oráculo B,6
7,Oráculo B,2
8,Oráculo B,5
9,Oráculo B,7
10,Oráculo B,1
11,Oráculo B,6
12,Oráculo B,6
13,Oráculo B,4
14,Oráculo B,6
15,Oráculo B,1
16,Oráculo B,7
17,Oráculo B,4
18,Oráculo B,5
19,Oráculo B,2
20,Oráculo B,7
21,Oráculo B,6
22,Oráculo B,4
23,Oráculo B,3
24,Oráculo B,4
25,Oráculo B,6
26,Oráculo B,1
27,Oráculo B,2
28,Oráculo B,6
29,Oráculo B,2
30,Oráculo B,4
31,Oráculo B,1
32,Oráculo B,6
33,Oráculo B,4
34,Oráculo B,1
35,Oráculo B,2
36,Oráculo B,1
37,Oráculo B,3
38,Oráculo B,7
39,Oráculo B,5
40,Oráculo B,7
41,Oráculo B,2
42,Oráculo B,1
43,Oráculo B,2
44,Oráculo B,3
45,Oráculo B,3